,ticker,date,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities
6,CTAS,2018-08-31,118356000.0,180262000.0,298618000.0,838192000.0,303770000.0,2104378000.0,1394634000.0,0.0,0.0,6878000.0,5182826000.0,7287204000.0,214011000.0,0.0,679094000.0,2535859000.0,2535859000.0,0.0,0.0,0.0,3262142000.0,3941236000.0,0.0,6239535000.0,3345968000.0,180262000.0,2417503000.0,0.0,0.0
7,CTAS,2018-05-31,138724000.0,175581000.0,314305000.0,804583000.0,280347000.0,1977932000.0,1382730000.0,0.0,0.0,19634000.0,4980282000.0,6958214000.0,215074000.0,0.0,775857000.0,2535309000.0,2535309000.0,0.0,0.0,0.0,3165831000.0,3941688000.0,0.0,5837827000.0,3016526000.0,175581000.0,2396585000.0,0.0,0.0
8,CTAS,2018-02-28,152563000.0,33693000.0,186256000.0,779220000.0,274819000.0,1979576000.0,1367580000.0,0.0,0.0,21651000.0,4949017000.0,6928593000.0,172181000.0,187500000.0,917573000.0,2534760000.0,2722260000.0,0.0,0.0,0.0,3117023000.0,4034596000.0,0.0,5651656000.0,2893997000.0,33693000.0,2569697000.0,0.0,0.0
9,CTAS,2017-11-30,236002000.0,22732000.0,258734000.0,763555000.0,272830000.0,2043449000.0,1353159000.0,0.0,0.0,35700000.0,4935352000.0,6978801000.0,162981000.0,300000000.0,1154371000.0,2534222000.0,2834222000.0,0.0,0.0,0.0,3271397000.0,4425768000.0,0.0,5349539000.0,2553033000.0,22732000.0,2598220000.0,0.0,0.0
10,CTAS,2017-08-31,191414000.0,21626000.0,213040000.0,731577000.0,283197000.0,1924553000.0,1340660000.0,0.0,0.0,0.0,4927053000.0,6851606000.0,189571000.0,307450000.0,1044795000.0,2533672000.0,2841122000.0,0.0,25552000.0,0.0,3240930000.0,4285725000.0,0.0,5388040000.0,2565881000.0,21626000.0,2649708000.0,0.0,0.0
11,CTAS,2017-05-31,169266000.0,164788000.0,334054000.0,736008000.0,278218000.0,1954478000.0,1323501000.0,0.0,0.0,44320000.0,4889579000.0,6844057000.0,177051000.0,362900000.0,1130852000.0,2770624000.0,3133524000.0,0.0,0.0,0.0,3410412000.0,4541264000.0,0.0,5170830000.0,2302793000.0,164788000.0,2964258000.0,0.0,0.0
12,CTAS,2017-02-28,147244000.0,148200000.0,295444000.0,598863000.0,272181000.0,1629941000.0,1090209000.0,0.0,0.0,20560000.0,2641223000.0,4271164000.0,127940000.0,399351000.0,943968000.0,745189000.0,1144540000.0,0.0,0.0,0.0,1148938000.0,2092906000.0,0.0,5086584000.0,2178258000.0,148200000.0,997296000.0,0.0,0.0
13,CTAS,2016-11-30,143573000.0,140500000.0,284073000.0,607452000.0,263301000.0,1600662000.0,1067214000.0,0.0,0.0,1228000.0,2613917000.0,4214579000.0,127815000.0,66000000.0,748757000.0,1044834000.0,1110834000.0,0.0,0.0,0.0,1440117000.0,2188874000.0,0.0,4968437000.0,2025705000.0,140500000.0,967261000.0,0.0,0.0
14,CTAS,2016-08-31,99209000.0,140900000.0,240109000.0,586372000.0,262156000.0,1594748000.0,1033160000.0,0.0,0.0,0.0,2572397000.0,4167145000.0,129650000.0,163800000.0,710859000.0,1044628000.0,1208428000.0,0.0,38829000.0,0.0,1468884000.0,2179743000.0,0.0,4970647000.0,1987402000.0,140900000.0,1109219000.0,0.0,0.0
15,CTAS,2016-05-31,139357000.0,125000000.0,264357000.0,563178000.0,249362000.0,1590035000.0,994237000.0,0.0,0.0,1712000.0,2514358000.0,4104393000.0,114514000.0,250000000.0,815555000.0,1050000000.0,1300000000.0,0.0,0.0,0.0,1446179000.0,2261734000.0,0.0,4805867000.0,1842659000.0,125000000.0,1160643000.0,0.0,0.0
16,CTAS,2016-02-29,315116000.0,118600000.0,433716000.0,550748000.0,255203000.0,1758824000.0,964680000.0,0.0,0.0,0.0,2472386000.0,4231210000.0,151833000.0,250000000.0,858804000.0,1050000000.0,1300000000.0,0.0,52541000.0,0.0,1422300000.0,2281104000.0,0.0,4674975000.0,1950106000.0,118600000.0,984884000.0,0.0,0.0
17,CTAS,2015-11-30,606785000.0,65826000.0,672611000.0,549190000.0,251477000.0,2043280000.0,916544000.0,0.0,0.0,0.0,2407512000.0,4450792000.0,134843000.0,250000000.0,1130981000.0,1050000000.0,1300000000.0,0.0,236539000.0,0.0,1395283000.0,2526264000.0,0.0,4557245000.0,1924528000.0,65826000.0,693215000.0,0.0,0.0
18,CTAS,2015-08-31,146860000.0,53354000.0,200214000.0,531127000.0,240046000.0,1733952000.0,896786000.0,0.0,0.0,0.0,2388997000.0,4122949000.0,131956000.0,250000000.0,959326000.0,1050000000.0,1300000000.0,0.0,47640000.0,0.0,1314954000.0,2274280000.0,0.0,4327807000.0,1848669000.0,53354000.0,1153140000.0,0.0,0.0
19,CTAS,2015-05-31,417073000.0,16081000.0,433154000.0,496130000.0,226211000.0,1735807000.0,871421000.0,0.0,0.0,936000.0,2456653000.0,4192460000.0,109607000.0,0.0,621058000.0,1300000000.0,1300000000.0,0.0,0.0,0.0,1638947000.0,2260005000.0,0.0,4227620000.0,1932455000.0,16081000.0,882927000.0,0.0,0.0
20,CTAS,2015-02-28,358320000.0,44874000.0,403194000.0,497978000.0,234641000.0,1710125000.0,853391000.0,0.0,0.0,6633000.0,2556221000.0,4266346000.0,111952000.0,0.0,579231000.0,1300000000.0,1300000000.0,0.0,0.0,0.0,1639449000.0,2218680000.0,0.0,4122354000.0,2047666000.0,44874000.0,941680000.0,0.0,0.0
21,CTAS,2014-11-30,826724000.0,0.0,826724000.0,510153000.0,235860000.0,2145980000.0,845127000.0,0.0,0.0,98313000.0,2551591000.0,4697571000.0,171629000.0,0.0,851764000.0,1300000000.0,1300000000.0,0.0,17459000.0,0.0,1642473000.0,2494237000.0,0.0,4027464000.0,2203334000.0,0.0,473276000.0,0.0,0.0
22,CTAS,2014-08-31,581453000.0,0.0,581453000.0,489211000.0,249817000.0,2012949000.0,838493000.0,0.0,0.0,87842000.0,2543321000.0,4556270000.0,141795000.0,0.0,636011000.0,1300000000.0,1300000000.0,0.0,54595000.0,0.0,1648285000.0,2284296000.0,0.0,4109001000.0,2271974000.0,0.0,718547000.0,0.0,0.0
