,ticker,date,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expense,Operating Expenses,Operating Income,Interest Expense,Earnings before Tax,Income Tax Expense,Net Income - Non-Controlling int,Net Income - Discontinued ops,Net Income,Preferred Dividends,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,Free Cash Flow margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin
24,TTWO,2013-12-31,1863869000.0,11.5239813471,1119734000.0,744135000.0,29233000.0,105194000.0,137840000.0,606295000.0,3877000.0,600328000.0,21902000.0,0.0,0.0,578426000.0,0.0,578426000.0,6.14,5.41,86970000.0,117274000.0,0.0,0.399242114119,0.420501655428,0.325288418875,0.31033618779,0.315295227293,783760000.0,606295000.0,578426000.0,0.322087013626,0.31033618779
25,TTWO,2013-09-30,148824000.0,0.0431564412233,92463000.0,56361000.0,26520000.0,144365000.0,174252000.0,-117891000.0,3839000.0,-132305000.0,-8185000.0,0.0,0.0,-124120000.0,0.0,-124120000.0,-1.41,-1.41,87907000.0,87907000.0,0.0,0.378709079181,-0.424494705155,-0.792150459603,-0.834005267968,0.809425899049,-63175000.0,-117891000.0,-124120000.0,-0.889003117777,-0.834005267968
26,TTWO,2013-06-30,142667000.0,-0.523628738476,93842000.0,48825000.0,20871000.0,74461000.0,98389000.0,-49564000.0,3802000.0,-60827000.0,1087000.0,0.0,0.0,-61914000.0,0.0,-61914000.0,-0.71,-0.71,86992000.0,86992000.0,0.0,0.342230508807,0.0190163107096,-0.347410403247,-0.433975621552,-0.00555839822804,2713000.0,-49564000.0,-61914000.0,0.0,-0.433975621552
27,TTWO,2013-03-31,299487000.0,-0.279686271114,154320000.0,145167000.0,21183000.0,92116000.0,116105000.0,29062000.0,3763000.0,63941000.0,103000.0,0.0,0.0,22473000.0,0.0,22473000.0,0.27,0.27,85581000.0,85581000.0,0.0,0.484718869266,0.263817795096,0.0970392704859,0.0750383155195,-0.168728525779,79010000.0,29062000.0,22473000.0,0.213501754667,0.0750383155195
28,TTWO,2012-12-31,415773000.0,0.522509557499,216299000.0,199474000.0,22369000.0,93604000.0,118482000.0,80992000.0,3729000.0,73386000.0,2021000.0,0.0,0.0,71365000.0,0.0,71365000.0,0.84,0.84,85382000.0,85382000.0,0.0,0.479766603411,0.330815132296,0.194798604046,0.171644142357,0.287377968266,137544000.0,80992000.0,71365000.0,0.176504967855,0.171644142357
29,TTWO,2012-09-30,273084000.0,0.207593559713,158487000.0,114597000.0,19320000.0,96660000.0,118530000.0,-3933000.0,3694000.0,-11406000.0,1085000.0,0.0,0.0,-12491000.0,0.0,-12491000.0,-0.15,-0.15,85197000.0,85197000.0,0.0,0.419640110735,0.187898229116,-0.0144021619721,-0.0457405047531,-0.12645559608,51312000.0,-3933000.0,-12491000.0,-0.0417673682823,-0.0457405047531
30,TTWO,2012-06-30,226139000.0,0.527099484077,186731000.0,39408000.0,15312000.0,122209000.0,140290000.0,-100882000.0,3659000.0,-108997000.0,1841000.0,0.0,0.0,-110838000.0,0.0,-110838000.0,-1.3,-1.3,85010000.0,85010000.0,0.0,0.174264501037,0.0293536276361,-0.446106155948,-0.490132175343,-0.246777424504,6638000.0,-100882000.0,-110838000.0,0.0,-0.490132175343
31,TTWO,2012-03-31,148084000.0,-0.373388342325,116466000.0,31618000.0,14822000.0,75198000.0,92760000.0,-61142000.0,0.0,-25043000.0,-505000.0,0.0,0.0,-66836000.0,0.0,-66836000.0,-0.8,-0.8,83356000.0,83356000.0,0.0,0.213513951541,-0.134443964237,-0.412887280192,-0.45133842954,-0.223933713298,-19909000.0,-61142000.0,-66836000.0,-0.169113476135,-0.45133842954
32,TTWO,2011-12-31,236325000.0,1.20794327036,126467000.0,109858000.0,16823000.0,69933000.0,89610000.0,20248000.0,0.0,13773000.0,-127000.0,0.0,0.0,14104000.0,0.0,14104000.0,0.17,0.17,83003000.0,83003000.0,0.0,0.464859832857,0.252973659156,0.0856786205437,0.0596805247012,-0.201320215805,59784000.0,20248000.0,14104000.0,0.0582799111393,0.0596805247012
33,TTWO,2011-09-30,107034000.0,-0.679903104253,74703000.0,32331000.0,15998000.0,54558000.0,73840000.0,-41509000.0,0.0,-45842000.0,1419000.0,0.0,0.0,-47371000.0,0.0,-47371000.0,-0.57,-0.57,82722000.0,82722000.0,0.0,0.302062895902,-0.219958144141,-0.387811349665,-0.442578993591,0.147560588224,-23543000.0,-41509000.0,-47371000.0,-0.428293813181,-0.442578993591
