,ticker,date,Depreciation & Amortization,Stock-based compensation,Operating Cash Flow,Capital Expenditure,Acquisitions and disposals,Investment purchases and sales,Investing Cash flow,Issuance (repayment) of debt,Issuance (buybacks) of shares,Dividend payments,Financing Cash Flow,Effect of forex changes on cash,Net cash flow / Change in cash,Free Cash Flow,Net Cash/Marketcap
4,CSCO,2015-07-25,2442000000.0,1440000000.0,12552000000.0,1227000000.0,-326000000.0,-33006000000.0,-10088000000.0,-508000000.0,-2308000000.0,-4086000000.0,-2313000000.0,0.0,151000000.0,11325000000.0,0.0
5,CSCO,2014-07-26,2432000000.0,1348000000.0,12332000000.0,1275000000.0,-2989000000.0,6247000000.0,-6643000000.0,-3276000000.0,-7506000000.0,-3758000000.0,-6888000000.0,0.0,-1199000000.0,11057000000.0,0.0
6,CSCO,2013-07-27,2351000000.0,1120000000.0,12894000000.0,1160000000.0,-6766000000.0,15136000000.0,-11768000000.0,-16000000.0,565000000.0,-3310000000.0,-3000000000.0,0.0,-1874000000.0,11734000000.0,0.0
7,CSCO,2012-07-28,2602000000.0,1401000000.0,11491000000.0,1126000000.0,-375000000.0,-34467000000.0,-3815000000.0,557000000.0,-3388000000.0,-1501000000.0,-5539000000.0,0.0,2137000000.0,10365000000.0,0.0
8,CSCO,2011-07-30,2486000000.0,1620000000.0,10079000000.0,1174000000.0,-266000000.0,-25909000000.0,-2934000000.0,-3113000000.0,-5065000000.0,-658000000.0,-4064000000.0,0.0,3081000000.0,8905000000.0,0.0
9,CSCO,2010-07-31,2030000000.0,1517000000.0,10173000000.0,1008000000.0,-5279000000.0,-32857000000.0,-11931000000.0,-0.0,-4586000000.0,-0.0,621000000.0,0.0,-1137000000.0,9165000000.0,0.0
10,CSCO,2009-07-25,1768000000.0,1209000000.0,9897000000.0,-1005000000.0,-426000000.0,-8489000000.0,-9959000000.0,3491000000.0,-2748000000.0,0.0,589000000.0,0.0,527000000.0,8892000000.0,0.1961
0,ADBE,2019-11-29,736669000.0,787705000.0,4421813000.0,394479000.0,-100704000.0,-2750000000.0,-455584000.0,-0.0,-2750000000.0,-0.0,-2946044000.0,-12739000.0,1007446000.0,4027334000.0,0.0
1,ADBE,2018-11-30,346492000.0,609562000.0,4029304000.0,266579000.0,-6314382000.0,-2050000000.0,-4685295000.0,-1707000.0,-2050000000.0,-0.0,-5568000.0,-1738000.0,-663297000.0,3762725000.0,0.0
2,ADBE,2017-12-01,325997000.0,451451000.0,2912853000.0,178122000.0,-459626000.0,-1100000000.0,-442877000.0,-1960000.0,-1100000000.0,-0.0,-1183735000.0,8516000.0,1294757000.0,2734731000.0,0.0
3,ADBE,2016-12-02,331535000.0,349912000.0,2199728000.0,203805000.0,-48427000.0,-1075000000.0,-960033000.0,-108000.0,-1075000000.0,-0.0,-1090706000.0,-14234000.0,134755000.0,1995923000.0,0.0
4,ADBE,2015-11-27,339473000.0,335859000.0,1469502000.0,184936000.0,-826004000.0,-625000000.0,-1488358000.0,-602189000.0,-625000000.0,-0.0,-200687000.0,-21297000.0,-240840000.0,1284566000.0,0.0
5,ADBE,2014-11-28,313590000.0,333701000.0,1287482000.0,148332000.0,-29802000.0,-600000000.0,-497355000.0,-14684000.0,-600000000.0,-0.0,-507283000.0,-6648000.0,282844000.0,1139150000.0,0.0
6,ADBE,2013-11-29,321227000.0,328987000.0,1151686000.0,188358000.0,-704589000.0,-1100000000.0,-1183044000.0,-25879000.0,-1100000000.0,-0.0,-559138000.0,-5241000.0,-590496000.0,963328000.0,0.0
7,ADBE,2012-11-30,299766000.0,298502000.0,1499580000.0,271076000.0,-353195000.0,-405000000.0,-834662000.0,-9855000.0,-405000000.0,-0.0,-234723000.0,5357000.0,435552000.0,1228504000.0,0.0
8,ADBE,2011-12-02,270205000.0,286103000.0,1543314000.0,210294000.0,-259046000.0,-695015000.0,-757402000.0,-10046000.0,-695015000.0,-0.0,-550358000.0,4055000.0,239609000.0,1333020000.0,0.0
9,ADBE,2010-12-03,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
10,ADBE,2009-11-27,282423000.0,199982000.0,1117794000.0,-119592000.0,-1582669000.0,202394000.0,-1497096000.0,636103000.0,-170447000.0,0.0,477636000.0,14703000.0,113037000.0,998202000.0,0.0488
0,PYPL,2019-12-31,912000000.0,1021000000.0,4561000000.0,704000000.0,-70000000.0,-4403000000.0,-5733000000.0,-2516000000.0,-1262000000.0,-0.0,3688000000.0,-6000000.0,7349000000.0,3857000000.0,0.0
1,PYPL,2018-12-31,776000000.0,853000000.0,5483000000.0,823000000.0,-2124000000.0,-4003000000.0,840000000.0,-1115000000.0,-3376000000.0,-0.0,-1262000000.0,-113000000.0,7575000000.0,4660000000.0,0.0
2,PYPL,2017-12-31,805000000.0,733000000.0,2531000000.0,667000000.0,-323000000.0,-1974000000.0,-5358000000.0,-820000000.0,-862000000.0,-0.0,4084000000.0,36000000.0,1293000000.0,1864000000.0,0.0
3,PYPL,2016-12-31,724000000.0,438000000.0,3158000000.0,669000000.0,-19000000.0,-3607000000.0,-4999000000.0,21000000.0,-886000000.0,-0.0,2038000000.0,0.0,197000000.0,2489000000.0,0.0
4,PYPL,2015-12-31,608000000.0,346000000.0,2546000000.0,722000000.0,-1225000000.0,-4224000000.0,-6389000000.0,862000000.0,-1318000000.0,-0.0,3079000000.0,-44000000.0,-808000000.0,1824000000.0,0.0
5,PYPL,2014-12-31,516000000.0,258000000.0,2220000000.0,-492000000.0,-364000000.0,-2001000000.0,-2881000000.0,-21000000.0,0.0,0.0,1284000000.0,-26000000.0,597000000.0,1728000000.0,0.169
